"","id","sexo","edad","edad_r","hab","prov","ccaa","edu","cs","p1","p2","p3","p4_1","p4_2","p4_3","p4_4","p5","p6","p7","hab_r","clase_social_r","situacion_laboral_r","educacion_r","ponde"
"366","366","Hombre",52,"45-54","10.001 - 20.000","Sevilla","Andalucía","Segundo Grado - 1º Ciclo (Graduado escolar, o EGB 2ª etapa,","C","Con toda seguridad, iría a votar 10","Ciudadanos","Ciudadanos","5","No le votaría nunca 0","No le votaría nunca 0","No le votaría nunca 0","PSOE (Partido Socialista Obrero Español)","4","Máximo centralismo 10","Más de 10.000","Media","Trabaja","Segundo grado, primer ciclo y menos",0.902501
"367","367","Hombre",64,"55-64","20.001 - 50.000","Alicante/Alacant","Comunitat Valenciana","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","B","Con toda seguridad, iría a votar 10","PP (Partido Popular)","PP (Partido Popular)","No le votaría nunca 0","Le votaría siempre 10","No le votaría nunca 0","5","PP (Partido Popular)","7","Máximo centralismo 10","Más de 10.000","Alta / Media Alta","Pensionista","Segundo grado, segundo ciclo",0.595449
"368","368","Hombre",69,"65+","100.001 - 500.000","Bizkaia","País Vasco","Tercer Grado  1º Ciclo Equivalente a Ingeniero técnico 3 año","E2","Con toda seguridad, iría a votar 10","EAJ - PNV","EAJ - PNV","5","No le votaría nunca 0","8","No le votaría nunca 0","EAJ - PNV","3","1","Más de 10.000","Media baja / Baja","Pensionista","Tercer grado, primer ciclo",2.483963
"369","369","Hombre",51,"45-54","100.001 - 500.000","Córdoba","Andalucía","Tercer grado (Doctorado)","A1","Con toda seguridad, iría a votar 10","Vox","Vox","No le votaría nunca 0","8","No le votaría nunca 0","Le votaría siempre 10","PP (Partido Popular)","8","Máximo centralismo 10","Más de 10.000","Alta / Media Alta","Trabaja","Tercer grado, segundo ciclo y más",1.190091
"370","370","Hombre",39,"35-44","500.000+","Barcelona","Cataluña","Licenciatura, Grado - 2º Ciclo (Universitarios, Licenciados","A2","Con toda seguridad, iría a votar 10","Más País (Equo, Compromís, CHA)","Más País (Equo, Compromís, CHA)","3","No le votaría nunca 0","5","No le votaría nunca 0","CUP","3","1","Más de 10.000","Alta / Media Alta","Trabaja","Tercer grado, segundo ciclo y más",0.763198
"371","371","Mujer",59,"55-64","10.001 - 20.000","Pontevedra","Galicia","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","E1","Con toda seguridad, iría a votar 10","PACMA (Partido Animalista Contra el Maltrato Animal)","PACMA (Partido Animalista Contra el Maltrato Animal)","No le votaría nunca 0","No le votaría nunca 0","No le votaría nunca 0","No le votaría nunca 0","PACMA (Partido Animalista Contra el Maltrato Animal)","2","8","Más de 10.000","Media baja / Baja","Trabaja","Segundo grado, segundo ciclo",0.835056
"372","372","Hombre",59,"55-64","< 10.000","Sevilla","Andalucía","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","A1","8","PSOE (Partido Socialista Obrero Español)","PSOE (Partido Socialista Obrero Español)","Le votaría siempre 10","No le votaría nunca 0","No le votaría nunca 0","No le votaría nunca 0","PSOE (Partido Socialista Obrero Español)","3","3","Menos de 10.000","Alta / Media Alta","Pensionista","Segundo grado, segundo ciclo",1.453539
"373","373","Hombre",59,"55-64","500.000+","Madrid","Madrid, Comunidad de","Tercer Grado  1º Ciclo Equivalente a Ingeniero técnico 3 año","D","Con toda seguridad, NO iría a votar 0","No votaré","Ninguno","No le votaría nunca 0","No le votaría nunca 0","No le votaría nunca 0","No le votaría nunca 0","No voté","No lo sé","Máximo centralismo 10","Más de 10.000","Media baja / Baja","Parado","Tercer grado, primer ciclo",0.878402
"374","374","Hombre",73,"65+","500.000+","Madrid","Madrid, Comunidad de","Licenciatura, Grado - 2º Ciclo (Universitarios, Licenciados","A2","Con toda seguridad, iría a votar 10","PSOE (Partido Socialista Obrero Español)","PSOE (Partido Socialista Obrero Español)","Le votaría siempre 10","5","No le votaría nunca 0","No le votaría nunca 0","PSOE (Partido Socialista Obrero Español)","4","5","Más de 10.000","Alta / Media Alta","Pensionista","Tercer grado, segundo ciclo y más",0.977556
"375","375","Mujer",50,"45-54","100.001 - 500.000","Cantabria","Cantabria","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","E1","6","PRC","PRC","5","6","No le votaría nunca 0","No le votaría nunca 0","PRC","5","Máximo centralismo 10","Más de 10.000","Media baja / Baja","Trabaja","Segundo grado, segundo ciclo",0.751707
"376","376","Hombre",72,"65+","< 10.000","Palmas, Las","Canarias","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","C","Con toda seguridad, iría a votar 10","PP (Partido Popular)","PP (Partido Popular)","2","Le votaría siempre 10","No le votaría nunca 0","No le votaría nunca 0","PP (Partido Popular)","5","3","Menos de 10.000","Media","Pensionista","Segundo grado, segundo ciclo",1.492427
"377","377","Mujer",36,"35-44","500.000+","Madrid","Madrid, Comunidad de","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","C","Con toda seguridad, iría a votar 10","PP (Partido Popular)","PP (Partido Popular)","No le votaría nunca 0","Le votaría siempre 10","No le votaría nunca 0","6","PP (Partido Popular)","8","6","Más de 10.000","Media","Trabaja","Segundo grado, segundo ciclo",0.85465
"378","378","Hombre",69,"65+","< 10.000","Sevilla","Andalucía","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","C","Con toda seguridad, iría a votar 10","PP (Partido Popular)","PP (Partido Popular)","No le votaría nunca 0","Le votaría siempre 10","No le votaría nunca 0","No le votaría nunca 0","PP (Partido Popular)","6","5","Menos de 10.000","Media","Pensionista","Segundo grado, segundo ciclo",1.648165
"379","379","Hombre",52,"45-54","100.001 - 500.000","Madrid","Madrid, Comunidad de","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","A1","Con toda seguridad, iría a votar 10","PSOE (Partido Socialista Obrero Español)","PSOE (Partido Socialista Obrero Español)","Le votaría siempre 10","7","8","No le votaría nunca 0","PSOE (Partido Socialista Obrero Español)","3","5","Más de 10.000","Alta / Media Alta","Trabaja","Segundo grado, segundo ciclo",1.022464
"380","380","Mujer",34,"25-34","10.001 - 20.000","Salamanca","Castilla y León","Tercer Grado  1º Ciclo Equivalente a Ingeniero técnico 3 año","E1","7","PP (Partido Popular)","Vox","No le votaría nunca 0","8","No le votaría nunca 0","8","PP (Partido Popular)","5","7","Más de 10.000","Media baja / Baja","Trabajo del hogar no remunerado","Tercer grado, primer ciclo",0.970295
"381","381","Hombre",40,"35-44","20.001 - 50.000","Murcia","Murcia, Región de","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","B","9","No lo sé","Ciudadanos","7","6","6","4","PSOE (Partido Socialista Obrero Español)","5","5","Más de 10.000","Alta / Media Alta","Trabaja","Segundo grado, segundo ciclo",0.885525
"382","382","Hombre",56,"55-64","20.001 - 50.000","Valencia/València","Comunitat Valenciana","Segundo Grado - 1º Ciclo (Graduado escolar, o EGB 2ª etapa,","C","Con toda seguridad, iría a votar 10","Vox","Ciudadanos","No le votaría nunca 0","4","No le votaría nunca 0","9","Vox","5","9","Más de 10.000","Media","Trabaja","Segundo grado, primer ciclo y menos",0.765261
"383","383","Mujer",50,"45-54","50.001 - 100.000","Castellón/Castelló","Comunitat Valenciana","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","E1","8","PSOE (Partido Socialista Obrero Español)","PSOE (Partido Socialista Obrero Español)","8","4","No le votaría nunca 0","No le votaría nunca 0","PSOE (Partido Socialista Obrero Español)","5","No lo sé","Más de 10.000","Media baja / Baja","Parado","Segundo grado, segundo ciclo",0.942636
"384","384","Hombre",45,"45-54","50.001 - 100.000","Pontevedra","Galicia","Licenciatura, Grado - 2º Ciclo (Universitarios, Licenciados","A2","Con toda seguridad, iría a votar 10","Otro","Otro","7","5","7","No le votaría nunca 0","Ciudadanos","5","2","Más de 10.000","Alta / Media Alta","Trabaja","Tercer grado, segundo ciclo y más",0.750382
"385","385","Hombre",71,"65+","50.001 - 100.000","Zamora","Castilla y León","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","E1","Con toda seguridad, iría a votar 10","PSOE (Partido Socialista Obrero Español)","PSOE (Partido Socialista Obrero Español)","Le votaría siempre 10","1","7","No le votaría nunca 0","PSOE (Partido Socialista Obrero Español)","3","6","Más de 10.000","Media baja / Baja","Pensionista","Segundo grado, segundo ciclo",1.500506
"386","386","Mujer",65,"65+","20.001 - 50.000","Santa Cruz de Tenerife","Canarias","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","A2","Con toda seguridad, iría a votar 10","Vox","Vox","No le votaría nunca 0","6","No le votaría nunca 0","9","PP (Partido Popular)","8","8","Más de 10.000","Alta / Media Alta","Trabaja","Segundo grado, segundo ciclo",1.064923
"387","387","Mujer",57,"55-64","20.001 - 50.000","Madrid","Madrid, Comunidad de","Segundo Grado - 1º Ciclo (Graduado escolar, o EGB 2ª etapa,","C","Con toda seguridad, iría a votar 10","PACMA (Partido Animalista Contra el Maltrato Animal)","PSOE (Partido Socialista Obrero Español)","7","2","4","No le votaría nunca 0","PSOE (Partido Socialista Obrero Español)","5","8","Más de 10.000","Media","Trabaja","Segundo grado, primer ciclo y menos",0.817399
"388","388","Mujer",47,"45-54","20.001 - 50.000","Santa Cruz de Tenerife","Canarias","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","C","Con toda seguridad, iría a votar 10","Unidas Podemos (Podemos, Izquierda Unida, En Comú Podem, En Común Unidas Podemos…)","Unidas Podemos (Podemos, Izquierda Unida, En Comú Podem, En Común Unidas Podemos…)","7","1","9","No le votaría nunca 0","Unidas Podemos (Podemos, Izquierda Unida, En Comú Podem, En","2","3","Más de 10.000","Media","Trabaja","Segundo grado, segundo ciclo",0.881013
"389","389","Mujer",62,"55-64","50.001 - 100.000","Valencia/València","Comunitat Valenciana","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","C","Con toda seguridad, iría a votar 10","PP (Partido Popular)","PP (Partido Popular)","3","Le votaría siempre 10","2","No le votaría nunca 0","PP (Partido Popular)","7","4","Más de 10.000","Media","Pensionista","Segundo grado, segundo ciclo",0.815795
"390","390","Mujer",70,"65+","100.001 - 500.000","Palmas, Las","Canarias","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","E1","Con toda seguridad, iría a votar 10","PSOE (Partido Socialista Obrero Español)","PSOE (Partido Socialista Obrero Español)","8","2","2","No le votaría nunca 0","PSOE (Partido Socialista Obrero Español)","6","7","Más de 10.000","Media baja / Baja","Pensionista","Segundo grado, segundo ciclo",1.340447
"391","391","Hombre",58,"55-64","20.001 - 50.000","Gipuzkoa","País Vasco","Tercer Grado (Máster)","C","Con toda seguridad, iría a votar 10","Unidas Podemos (Podemos, Izquierda Unida, En Comú Podem, En Común Unidas Podemos…)","Unidas Podemos (Podemos, Izquierda Unida, En Comú Podem, En Común Unidas Podemos…)","3","No le votaría nunca 0","7","No le votaría nunca 0","Unidas Podemos (Podemos, Izquierda Unida, En Comú Podem, En","2","2","Más de 10.000","Media","Pensionista","Tercer grado, segundo ciclo y más",1.136095
"392","392","Mujer",69,"65+","500.000+","Madrid","Madrid, Comunidad de","Segundo Grado - 1º Ciclo (Graduado escolar, o EGB 2ª etapa,","C","No lo sé","Prefiero no contestar","Prefiero no contestar","No lo sé","No le votaría nunca 0","5","No le votaría nunca 0","Prefiero no contestar","3","No lo sé","Más de 10.000","Media","Pensionista","Segundo grado, primer ciclo y menos",1.147884
"393","393","Mujer",57,"55-64","10.001 - 20.000","Guadalajara","Castilla - La Mancha","Segundo Grado - 1º Ciclo (Graduado escolar, o EGB 2ª etapa,","B","9","PSOE (Partido Socialista Obrero Español)","PSOE (Partido Socialista Obrero Español)","9","No le votaría nunca 0","No le votaría nunca 0","No le votaría nunca 0","PSOE (Partido Socialista Obrero Español)","5","5","Más de 10.000","Alta / Media Alta","Trabaja","Segundo grado, primer ciclo y menos",0.536107
"394","394","Mujer",52,"45-54","100.001 - 500.000","Asturias","Asturias, Principado de","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","C","Con toda seguridad, iría a votar 10","No lo sé","PSOE (Partido Socialista Obrero Español)","No lo sé","5","5","No le votaría nunca 0","PSOE (Partido Socialista Obrero Español)","3","5","Más de 10.000","Media","Parado","Segundo grado, segundo ciclo",0.769724
"395","395","Hombre",40,"35-44","100.001 - 500.000","Murcia","Murcia, Región de","Licenciatura, Grado - 2º Ciclo (Universitarios, Licenciados","A2","Con toda seguridad, iría a votar 10","Vox","Vox","No le votaría nunca 0","3","No le votaría nunca 0","8","Ciudadanos","7","6","Más de 10.000","Alta / Media Alta","Trabaja","Tercer grado, segundo ciclo y más",0.906402
"396","396","Hombre",49,"45-54","< 10.000","Madrid","Madrid, Comunidad de","Tercer Grado (Máster)","A1","Con toda seguridad, iría a votar 10","PSOE (Partido Socialista Obrero Español)","PSOE (Partido Socialista Obrero Español)","Le votaría siempre 10","No le votaría nunca 0","4","No le votaría nunca 0","PSOE (Partido Socialista Obrero Español)","3","5","Menos de 10.000","Alta / Media Alta","Trabaja","Tercer grado, segundo ciclo y más",1.27708
"397","397","Mujer",61,"55-64","10.001 - 20.000","Cantabria","Cantabria","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","E1","Con toda seguridad, iría a votar 10","No lo sé","PSOE (Partido Socialista Obrero Español)","5","5","No le votaría nunca 0","1","PSOE (Partido Socialista Obrero Español)","5","Máximo centralismo 10","Más de 10.000","Media baja / Baja","Trabajo del hogar no remunerado","Segundo grado, segundo ciclo",0.718698
"398","398","Mujer",52,"45-54","100.001 - 500.000","Palmas, Las","Canarias","Licenciatura, Grado - 2º Ciclo (Universitarios, Licenciados","C","Con toda seguridad, iría a votar 10","PP (Partido Popular)","PP (Partido Popular)","Le votaría siempre 10","Le votaría siempre 10","5","3","PP (Partido Popular)","No lo sé","No lo sé","Más de 10.000","Media","Trabaja","Tercer grado, segundo ciclo y más",0.829864
"399","399","Mujer",58,"55-64","100.001 - 500.000","Santa Cruz de Tenerife","Canarias","Licenciatura, Grado - 2º Ciclo (Universitarios, Licenciados","B","Con toda seguridad, iría a votar 10","PP (Partido Popular)","PP (Partido Popular)","No le votaría nunca 0","9","No le votaría nunca 0","7","PP (Partido Popular)","8","6","Más de 10.000","Alta / Media Alta","Trabaja","Tercer grado, segundo ciclo y más",0.63142
"400","400","Hombre",18,"18-24","< 10.000","Gipuzkoa","País Vasco","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","B","No lo sé","No votaré","Unidas Podemos (Podemos, Izquierda Unida, En Comú Podem, En Común Unidas Podemos…)","9","6","No lo sé","No le votaría nunca 0","No tenía edad para votar","2","5","Menos de 10.000","Alta / Media Alta","Estudiante","Segundo grado, segundo ciclo",0.975804
"401","401","Hombre",41,"35-44","50.001 - 100.000","Jaén","Andalucía","Segundo Grado - 1º Ciclo (Graduado escolar, o EGB 2ª etapa,","C","No lo sé","No lo sé","Unidas Podemos (Podemos, Izquierda Unida, En Comú Podem, En Común Unidas Podemos…)","3","No le votaría nunca 0","7","No le votaría nunca 0","Unidas Podemos (Podemos, Izquierda Unida, En Comú Podem, En","2","3","Más de 10.000","Media","Trabaja","Segundo grado, primer ciclo y menos",1.119903
"402","402","Mujer",43,"35-44","500.000+","Madrid","Madrid, Comunidad de","Licenciatura, Grado - 2º Ciclo (Universitarios, Licenciados","B","9","No lo sé","Ninguno","5","5","No le votaría nunca 0","2","No voté","6","4","Más de 10.000","Alta / Media Alta","Trabaja","Tercer grado, segundo ciclo y más",0.665003
"403","403","Hombre",82,"65+","500.000+","Sevilla","Andalucía","Tercer Grado  1º Ciclo Equivalente a Ingeniero técnico 3 año","B","Con toda seguridad, iría a votar 10","PP (Partido Popular)","PP (Partido Popular)","No le votaría nunca 0","Le votaría siempre 10","No le votaría nunca 0","8","No voté","8","5","Más de 10.000","Alta / Media Alta","Pensionista","Tercer grado, primer ciclo",1.047075
"404","404","Mujer",44,"35-44","100.001 - 500.000","Araba/Álava","País Vasco","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","B","6","Votaré nulo","No lo sé","5","5","5","5","Voté en blanco","7","6","Más de 10.000","Alta / Media Alta","Trabaja","Segundo grado, segundo ciclo",0.899871
"405","405","Hombre",56,"55-64","< 10.000","Sevilla","Andalucía","Licenciatura, Grado - 2º Ciclo (Universitarios, Licenciados","A2","Con toda seguridad, iría a votar 10","Vox","Ciudadanos","No le votaría nunca 0","5","No le votaría nunca 0","Le votaría siempre 10","Ciudadanos","5","5","Menos de 10.000","Alta / Media Alta","Trabaja","Tercer grado, segundo ciclo y más",0.953245
"406","406","Mujer",47,"45-54","50.001 - 100.000","Madrid","Madrid, Comunidad de","Tercer Grado (Máster)","C","Con toda seguridad, iría a votar 10","PP (Partido Popular)","PP (Partido Popular)","No le votaría nunca 0","8","No le votaría nunca 0","No le votaría nunca 0","PP (Partido Popular)","5","7","Más de 10.000","Media","Trabaja","Tercer grado, segundo ciclo y más",0.897515
"407","407","Mujer",65,"65+","< 10.000","Barcelona","Cataluña","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","D","7","PSOE (Partido Socialista Obrero Español)","PSOE (Partido Socialista Obrero Español)","7","No le votaría nunca 0","2","No le votaría nunca 0","PSOE (Partido Socialista Obrero Español)","4","3","Menos de 10.000","Media baja / Baja","Trabajo del hogar no remunerado","Segundo grado, segundo ciclo",1.637467
"408","408","Mujer",50,"45-54","50.001 - 100.000","Alicante/Alacant","Comunitat Valenciana","Tercer Grado  1º Ciclo Equivalente a Ingeniero técnico 3 año","C","Con toda seguridad, iría a votar 10","Vox","Vox","No le votaría nunca 0","No le votaría nunca 0","No le votaría nunca 0","Le votaría siempre 10","Vox","Extrema derecha 10","Máximo centralismo 10","Más de 10.000","Media","Trabaja","Tercer grado, primer ciclo",0.834267
"409","409","Hombre",30,"25-34","100.001 - 500.000","Córdoba","Andalucía","Tercer Grado (Máster)","B","9","Vox","Vox","No le votaría nunca 0","No le votaría nunca 0","5","Le votaría siempre 10","Unidas Podemos (Podemos, Izquierda Unida, En Comú Podem, En","5","8","Más de 10.000","Alta / Media Alta","Trabaja","Tercer grado, segundo ciclo y más",0.779619
"410","410","Mujer",38,"35-44","500.000+","Barcelona","Cataluña","Licenciatura, Grado - 2º Ciclo (Universitarios, Licenciados","A2","Con toda seguridad, iría a votar 10","Vox","Vox","No le votaría nunca 0","No le votaría nunca 0","No le votaría nunca 0","6","Vox","Extrema derecha 10","Máximo centralismo 10","Más de 10.000","Alta / Media Alta","Trabaja","Tercer grado, segundo ciclo y más",0.757748
"411","411","Hombre",65,"65+","100.001 - 500.000","Alicante/Alacant","Comunitat Valenciana","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","E1","Con toda seguridad, NO iría a votar 0","No votaré","Ciudadanos","8","8","6","7","No voté","5","4","Más de 10.000","Media baja / Baja","Pensionista","Segundo grado, segundo ciclo",1.190695
"412","412","Hombre",47,"45-54","10.001 - 20.000","Lugo","Galicia","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","D","5","Vox","Vox","1","2","No le votaría nunca 0","8","No voté","6","4","Más de 10.000","Media baja / Baja","Parado","Segundo grado, segundo ciclo",0.845519
"413","413","Mujer",44,"35-44","20.001 - 50.000","Murcia","Murcia, Región de","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","C","Con toda seguridad, iría a votar 10","Vox","Vox","No le votaría nunca 0","7","No le votaría nunca 0","Le votaría siempre 10","Vox","Extrema derecha 10","Máximo centralismo 10","Más de 10.000","Media","Trabaja","Segundo grado, segundo ciclo",1.129934
"414","414","Mujer",40,"35-44","< 10.000","Alicante/Alacant","Comunitat Valenciana","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","B","Con toda seguridad, iría a votar 10","PSOE (Partido Socialista Obrero Español)","PSOE (Partido Socialista Obrero Español)","9","No le votaría nunca 0","No le votaría nunca 0","No le votaría nunca 0","PSOE (Partido Socialista Obrero Español)","Extrema izquierda 0","7","Menos de 10.000","Alta / Media Alta","Trabaja","Segundo grado, segundo ciclo",0.757086
"415","415","Hombre",62,"55-64","500.000+","Barcelona","Cataluña","Tercer Grado  1º Ciclo Equivalente a Ingeniero técnico 3 año","B","Con toda seguridad, iría a votar 10","PP (Partido Popular)","Navarra suma (UPN, PP, Ciudadanos)","No le votaría nunca 0","Le votaría siempre 10","No le votaría nunca 0","9","PP (Partido Popular)","Extrema izquierda 0","Máximo centralismo 10","Más de 10.000","Alta / Media Alta","Trabaja","Tercer grado, primer ciclo",0.645242
"416","416","Mujer",65,"65+","20.001 - 50.000","Santa Cruz de Tenerife","Canarias","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","A2","Con toda seguridad, iría a votar 10","Vox","Vox","1","6","No le votaría nunca 0","9","PP (Partido Popular)","8","8","Más de 10.000","Alta / Media Alta","Pensionista","Segundo grado, segundo ciclo",1.064923
"417","417","Hombre",67,"65+","10.001 - 20.000","Ourense","Galicia","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","C","Con toda seguridad, iría a votar 10","Vox","PSOE (Partido Socialista Obrero Español)","1","2","No le votaría nunca 0","8","PSOE (Partido Socialista Obrero Español)","3","7","Más de 10.000","Media","Pensionista","Segundo grado, segundo ciclo",1.088219
"418","418","Hombre",45,"45-54","10.001 - 20.000","Barcelona","Cataluña","Tercer Grado  1º Ciclo Equivalente a Ingeniero técnico 3 año","B","8","Unidas Podemos (Podemos, Izquierda Unida, En Comú Podem, En Común Unidas Podemos…)","Unidas Podemos (Podemos, Izquierda Unida, En Comú Podem, En Común Unidas Podemos…)","5","2","8","No le votaría nunca 0","Unidas Podemos (Podemos, Izquierda Unida, En Comú Podem, En","4","3","Más de 10.000","Alta / Media Alta","Trabaja","Tercer grado, primer ciclo",0.632639
"419","419","Hombre",45,"45-54","< 10.000","Guadalajara","Castilla - La Mancha","Tercer Grado (Máster)","A2","9","Ciudadanos","Ciudadanos","5","No le votaría nunca 0","5","2","Ciudadanos","6","6","Menos de 10.000","Alta / Media Alta","Trabaja","Tercer grado, segundo ciclo y más",0.766536
"420","420","Hombre",71,"65+","20.001 - 50.000","Barcelona","Cataluña","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","B","9","ERC - Sobiranistes","ERC - Sobiranistes","No le votaría nunca 0","No le votaría nunca 0","No le votaría nunca 0","No le votaría nunca 0","ERC - Sobiranistes","5","Máxima descentralización 0","Más de 10.000","Alta / Media Alta","Pensionista","Segundo grado, segundo ciclo",0.982007
"421","421","Mujer",58,"55-64","10.001 - 20.000","Barcelona","Cataluña","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","A2","7","Unidas Podemos (Podemos, Izquierda Unida, En Comú Podem, En Común Unidas Podemos…)","Unidas Podemos (Podemos, Izquierda Unida, En Comú Podem, En Común Unidas Podemos…)","8","1","9","No le votaría nunca 0","Unidas Podemos (Podemos, Izquierda Unida, En Comú Podem, En","2","4","Más de 10.000","Alta / Media Alta","Trabaja","Segundo grado, segundo ciclo",0.667446
"422","422","Hombre",44,"35-44","100.001 - 500.000","Palmas, Las","Canarias","Licenciatura, Grado - 2º Ciclo (Universitarios, Licenciados","B","Con toda seguridad, iría a votar 10","CCa-PNC-Nueva Canarias (Coalición Canaria-Partido Nacionalista Canario)","CCa-PNC-Nueva Canarias (Coalición Canaria-Partido Nacionalista Canario)","6","1","7","No le votaría nunca 0","CCa-PNC-Nueva Canarias (Coalición Canaria-Partido Nacionalis","2","2","Más de 10.000","Alta / Media Alta","Trabaja","Tercer grado, segundo ciclo y más",0.692227
"423","423","Hombre",65,"65+","50.001 - 100.000","Toledo","Castilla - La Mancha","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","D","Con toda seguridad, iría a votar 10","PSOE (Partido Socialista Obrero Español)","PSOE (Partido Socialista Obrero Español)","Le votaría siempre 10","1","5","No le votaría nunca 0","PSOE (Partido Socialista Obrero Español)","2","3","Más de 10.000","Media baja / Baja","Pensionista","Segundo grado, segundo ciclo",1.313727
"424","424","Hombre",70,"65+","100.001 - 500.000","Castellón/Castelló","Comunitat Valenciana","Licenciatura, Grado - 2º Ciclo (Universitarios, Licenciados","A1","Con toda seguridad, iría a votar 10","Vox","Vox","No le votaría nunca 0","Le votaría siempre 10","No le votaría nunca 0","Le votaría siempre 10","PP (Partido Popular)","9","Máximo centralismo 10","Más de 10.000","Alta / Media Alta","Pensionista","Tercer grado, segundo ciclo y más",1.358673
"425","425","Hombre",80,"65+","500.000+","Valencia/València","Comunitat Valenciana","Tercer grado (Doctorado)","A2","Con toda seguridad, iría a votar 10","Vox","Vox","No le votaría nunca 0","1","No le votaría nunca 0","Le votaría siempre 10","Vox","7","Máximo centralismo 10","Más de 10.000","Alta / Media Alta","Pensionista","Tercer grado, segundo ciclo y más",0.908667
"426","426","Hombre",41,"35-44","100.001 - 500.000","Cantabria","Cantabria","Licenciatura, Grado - 2º Ciclo (Universitarios, Licenciados","C","1","No votaré","Ninguno","1","1","1","1","No voté","No lo sé","No lo sé","Más de 10.000","Media","Trabaja","Tercer grado, segundo ciclo y más",0.713208
"427","427","Mujer",76,"65+","100.001 - 500.000","Cádiz","Andalucía","Tercer Grado (Máster)","C","9","PP (Partido Popular)","Ninguno","No le votaría nunca 0","7","No le votaría nunca 0","2","PP (Partido Popular)","7","8","Más de 10.000","Media","Pensionista","Tercer grado, segundo ciclo y más",1.310142
"428","428","Hombre",41,"35-44","20.001 - 50.000","Palmas, Las","Canarias","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","B","8","CCa-PNC-Nueva Canarias (Coalición Canaria-Partido Nacionalista Canario)","CCa-PNC-Nueva Canarias (Coalición Canaria-Partido Nacionalista Canario)","3","3","3","3","CCa-PNC-Nueva Canarias (Coalición Canaria-Partido Nacionalis","5","5","Más de 10.000","Alta / Media Alta","Trabaja","Segundo grado, segundo ciclo",0.734893
"429","429","Mujer",66,"65+","< 10.000","Zaragoza","Aragón","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","A2","Con toda seguridad, iría a votar 10","PSOE (Partido Socialista Obrero Español)","PSOE (Partido Socialista Obrero Español)","9","No le votaría nunca 0","5","No le votaría nunca 0","PSOE (Partido Socialista Obrero Español)","4","9","Menos de 10.000","Alta / Media Alta","Trabaja","Segundo grado, segundo ciclo",1.25704
"430","430","Hombre",47,"45-54","20.001 - 50.000","Bizkaia","País Vasco","Segundo Grado - 1º Ciclo (Graduado escolar, o EGB 2ª etapa,","E2","Con toda seguridad, NO iría a votar 0","No votaré","Ninguno","No le votaría nunca 0","No le votaría nunca 0","No le votaría nunca 0","No le votaría nunca 0","No voté","No lo sé","No lo sé","Más de 10.000","Media baja / Baja","Trabajo del hogar no remunerado","Segundo grado, primer ciclo y menos",2.103331
